X,Y,Grant.ID,fullAddress,OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_,POVScore,PHYSRatioS,Shape__Are,Shape__Len
-117.354501,33.97587198,2253193-2223,"1971 University Ave, Riverside, CA 92507",79,22,65,Riverside,135a,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,Urban,3015.781677,0.9582344,37607,Yes,8,46,2190.565217,5,3,0.009008183,0.773621201
-121.28826,37.97041198,2253262-2223,"1800 N California Street, Stockton, CA 95204",186,20,77,San Joaquin,169a,Stockton North Central/Stockton Northeast,Urban,7088.135976,0.19981451,63155,Yes,5,182,532.1648352,5,0,0.003687086,0.417598879
-124.142202,40.78521202,2253198-2223,"2350 Buhne Road, Eureka, CA 95501",367,15,23,Humboldt,39,Arcata/Eureka,Rural,164.3667295,3.71906266,65515,No,4,89,800.6292135,4,0,0.121988417,3.135899831
-118.2302306,34.15290527,2253278-2223,"1560 E Chevy Chase Dr Suite 355, Glendale, CA 91206",440,23,37,Los Angeles,78.2ee,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,6135.87099,0.5192441,77132,No,2,171,569.4795322,2,0,0.003931705,0.399612119
-122.4066633,37.75729619,2253292-2223,"995 Potrero Ave, San Francisco, CA 94110",173,24,75,San Francisco,162c,Bernal Heights/Mission District/Potrero Hill,Urban,22965.93635,0.21027477,75633,No,2,394,284.9746193,2,0,0.001287315,0.370995565
-117.748988,34.07627301,2253192-2223,"1770 N. Orange Grove Ave. Suite 201, Pomona, CA 91767",492,24,37,Los Angeles,78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,2606.978317,2.18304024,81227,No,1,156,730.6346154,1,0,0.011456429,0.648636511
-117.154383,33.54643301,2284863-2223,"39765 Date St, Murrieta, CA 92563",72,20,65,Riverside,131b,French Valley/Murrieta East/Temecula/Winchester,Urban,864.0639924,1.92411456,108589,Yes,5,55,2746.472727,1,4,0.041943541,0.995479377
-118.2991411,33.82982767,2253238-2223,"21840 Normandie Ave, Torrance, CA 90502",426,25,37,Los Angeles,78.2aaaa,Harbor Gateway South/Lomita/Torrance East Central,Urban,6190.362246,0.13029728,72080,No,2,512,223.6582031,2,0,0.00462218,0.377261181
-119.253612,34.27777602,2253209-2223,"300 Hillmont St, Ventura, CA 93003",324,20,111,Ventura,241c,Ventura,Urban,2739.863232,1.632153,59925,No,2,262,340.1908397,2,0,0.008279773,0.609968288
-122.2578839,37.82397464,2253235-2223,"275  W MacArthur Blvd GME Suite 43, Oakland, CA 94611",351,31,1,Alameda,2m,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,6779.534545,0.75509147,104862,No,2,400,294.405,2,0,0.004583226,0.494447115
-118.184132,33.95455999,2253259-2223,"8627 Atlantic Ave, South Gate, CA 90280",490,19,37,Los Angeles,78.2sss,Downey Southwest/Lynwood North Central/South Gate East,Urban,10675.96381,0.75802301,13507,No,4,76,1274.460526,3,1,0.002308615,0.415337631
-119.2949189,36.3278877,2253185-2223,"400 W. Mineral King Ave., Visalia, CA 93291",310,24,107,Tulare,233,Farmersville/Goshen/Visalia,Urban,944.9285908,0.60894207,74158,Yes,5,142,1045.943662,4,1,0.040688303,1.076558155
-117.103536,33.480371,2253265-2223,"31720 Temecula Parkway, Ste. 200, Temecula, CA 92592",73,14,65,Riverside,131c,Temecula South,Urban,537.1240961,35.92085968,66199,No,2,78,1105.179487,1,1,0.038718163,1.294424377
